K,105102.png,106601.png,108105.png,112404.png,124201.png
3,0.597069025039673,0.60139799118042,0.600490093231201,0.586997032165527,0.561683893203735
4,0.595840930938721,0.665827035903931,0.617920875549316,0.607302904129028,0.604182958602905
5,0.702295064926147,0.59964394569397,0.726662158966064,0.594613075256348,0.618211984634399
6,0.72281289100647,0.616496801376343,0.754739999771118,0.602078914642334,0.631603002548218
7,0.738966941833496,0.612157106399536,0.752480983734131,0.605508089065552,0.626657962799072
8,0.747650146484375,0.607023000717163,0.76931095123291,0.608150005340576,0.712316989898681
9,0.743025064468384,0.62398099899292,0.771830081939697,0.614967107772827,0.699543952941895
